"filename", "language", "PHP", "JSON with Comments", "XML", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "Ignore", "JavaScript", "YAML", "comment", "blank", "total"
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 8, 70
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 12, 169
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\placeholder-pattern.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 13, 180
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 13, 138
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 654, 0, 0, 0, 0, 0, 13, 55, 722
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
